hello,react.greetings
hi,react.greetings
good morning,react.greetings_morning
good afternoon,react.greetings_afternoon
good evening,react.greetings_evening
thank you,react.thank
are you ok,inquire.health
how are you,inquire.health
how do you do,inquire.health
are you hungry,inquire.eat
tell me a story,tell_story
do you have any story,tell_story
story,tell_story
what is your name,inquire.name
who are you,inquire.personal
tell me about yourself,inquire.personal
i'm sad,express
i'm happy,express
stop,stop
leave me alone,stop
sing a song,sing
do you know any song,sing
what is your favourite?,inquire.interests
what is your hobby?,inquire.interests
do you like computer games?,inquire.interest
do you like football?,inquire.interest
what is the date?,inquire.date
what is the date today?,inquire.date
what date is today?,inquire.date
what day is it today?,inquire.day
what today's day?,inquire.day
what time is it?,inquire.time
what is current time?,inquire.time
